iter	Logloss
0	0.3347963177
1	0.1616319722
2	0.08072641294
3	0.04373269891
4	0.02553249217
5	0.01600880337
6	0.01084494378
7	0.007988069629
8	0.006237447223
9	0.005133049212
10	0.004408686543
11	0.003893079807
12	0.003505216952
13	0.003228362291
14	0.003002973065
15	0.00287630446
16	0.002782256803
17	0.002700845321
18	0.002631162371
19	0.002575866478
20	0.002539787277
21	0.002481692977
22	0.002449144669
23	0.002413579975
24	0.002376713692
25	0.002354557813
26	0.002313159907
27	0.002296105046
28	0.00226127656
29	0.002245079181
30	0.002229130765
31	0.002189748129
32	0.002171542033
33	0.002126275422
34	0.002105056479
35	0.002093310825
36	0.002083950747
37	0.002067707746
38	0.00203896889
39	0.002010380354
40	0.001964082353
41	0.001948742769
42	0.001931263788
43	0.001919454778
44	0.001902770309
45	0.001894024761
46	0.001874316062
47	0.001863019824
48	0.001850944451
49	0.001837306918
50	0.001827056882
51	0.001807226576
52	0.00179802999
53	0.001786018746
54	0.001773873305
55	0.00175818246
56	0.001742877462
57	0.00173262738
58	0.001709331307
59	0.001698143008
60	0.001676365835
61	0.001654827541
62	0.001641757245
63	0.001630899466
64	0.00160473351
65	0.001587486174
66	0.001569310583
67	0.001558913546
68	0.001546080231
69	0.001533802068
70	0.001522709942
71	0.001503082742
72	0.001482555708
73	0.001467963727
74	0.00144561477
75	0.001436743152
76	0.001422659477
77	0.001411900976
78	0.00140166073
79	0.001389701502
80	0.001373766374
81	0.001364291146
82	0.001352102858
83	0.001342665125
84	0.001328195432
85	0.001320046286
86	0.001306662445
87	0.00129976374
88	0.001286843178
89	0.001276764883
90	0.001268039083
91	0.001251531787
92	0.001244800076
93	0.001237575434
94	0.001222385582
95	0.00121331437
96	0.00119996452
97	0.001187373356
98	0.001181530348
99	0.001176465416
100	0.001163905325
101	0.001158742541
102	0.001154574089
103	0.00114251066
104	0.001138869296
105	0.001129226569
106	0.001123499743
107	0.001117272375
108	0.001107937497
109	0.001100662496
110	0.001093408884
111	0.001087010072
112	0.001073522659
113	0.001065397217
114	0.001055897168
115	0.001050532561
116	0.001044070491
117	0.001027772408
118	0.001012030828
119	0.001003169687
120	0.0009971362267
121	0.0009900503247
122	0.0009829142035
123	0.0009762405414
124	0.0009694346905
125	0.0009600020089
126	0.0009543831085
127	0.0009508581054
128	0.0009421629988
129	0.0009350154533
130	0.0009255280339
131	0.0009222246673
132	0.0009111061459
133	0.0009068116125
134	0.0008964024094
135	0.000890745717
136	0.0008827662386
137	0.0008763621432
138	0.0008726111423
139	0.0008672510966
140	0.0008573516675
141	0.0008521826741
142	0.000846406454
143	0.0008386905006
144	0.0008288023109
145	0.0008253255968
146	0.000818022231
147	0.0008161121314
148	0.0008062016703
149	0.0007973111226
150	0.0007952340386
151	0.0007906390339
152	0.0007832419663
153	0.0007747421203
154	0.0007657840823
155	0.0007620965936
156	0.0007588943219
157	0.0007542607012
158	0.0007470098322
159	0.0007416922278
160	0.0007357197634
161	0.0007317910477
